Personal,Gender,Height_cm,Weight_kg
P136,Female,183,150
P137,Female,190,156
P138,Male,194,108
P139,Male,171,147
P140,Male,159,124
P141,Female,169,54
P142,Female,167,85
P143,Male,180,149
P144,Male,163,123
P145,Male,140,79
P146,Male,197,125
P147,Male,194,106
P148,Female,140,146
P149,Male,195,98
P150,Female,168,115
P151,Female,196,50
P152,Male,140,52
P153,Female,150,60
P154,Female,168,140
P155,Female,155,111
P156,Female,179,103
P157,Female,182,84
P158,Male,168,160
P159,Female,187,102
P160,Male,181,105
P161,Male,199,99
P162,Female,184,76
P163,Male,192,101
P164,Female,182,143
P165,Female,172,111
P166,Male,181,78
P167,Male,176,109
P168,Female,156,106
P169,Female,151,67
P170,Female,188,80
P171,Male,187,136
P172,Male,174,138
P173,Male,167,151
P174,Female,196,131
P175,Male,197,149
P176,Female,185,119
P177,Female,170,102
P178,Female,181,94
P179,Female,166,126
P180,Male,188,100
P181,Female,162,74
P182,Male,177,117
P183,Male,162,97
P184,Male,180,73
P185,Female,192,108
P186,Male,165,80
P187,Female,167,135
P188,Female,182,84
P189,Female,161,134
P190,Male,158,95
P191,Male,141,85
P192,Male,154,100
P193,Male,165,105
P194,Female,142,137
P195,Male,141,94
P196,Male,145,108
P197,Male,157,74
P198,Female,177,117
P199,Female,166,144
P200,Male,193,151
P201,Male,184,57
P202,Male,179,93
P203,Female,156,89
P204,Male,182,104
P205,Male,145,160
P206,Female,150,87
P207,Male,145,99
P208,Female,196,122
P209,Male,191,96
P210,Female,148,67
P211,Female,150,84
P212,Male,148,155
P213,Female,153,146
P214,Female,196,159
P215,Female,185,52
P216,Female,171,131
P217,Female,143,118
P218,Female,142,86
P219,Female,141,126
P220,Male,159,109
P221,Female,173,82
P222,Male,183,138
P223,Female,152,90
P224,Male,178,140
P225,Male,188,54
P226,Female,155,144
P227,Male,166,70
P228,Male,188,123
P229,Female,171,120
P230,Male,179,130
P231,Female,186,137
P232,Female,153,78
P233,Female,184,86
P234,Female,177,81
P235,Male,145,78
P236,Male,170,81
P237,Male,181,141
P238,Male,165,155
P239,Female,174,65
P240,Female,146,110
P241,Male,178,85
P242,Male,166,61
P243,Male,191,62
P244,Female,177,155
P245,Female,183,50
P246,Male,151,114
P247,Male,182,98
P248,Female,142,159
P249,Female,188,90
P250,Male,161,89
P251,Male,153,70
P252,Male,140,143
P253,Male,169,141
P254,Female,162,159
P255,Male,183,147
P256,Female,162,58
P257,Female,172,109
P258,Female,150,119
P259,Female,169,145
P260,Female,184,132
P261,Male,159,104
P262,Male,163,131
P263,Male,156,137
P264,Female,157,52
P265,Male,147,84
P266,Male,141,86
P267,Male,173,139
P268,Male,154,145
P269,Male,168,148
P270,Male,168,50
P271,Male,145,130
P272,Male,152,103
P273,Female,187,121
P274,Female,163,57
P275,Male,178,83
P276,Female,187,94
P277,Female,179,114
P278,Male,190,80
P279,Male,172,75
P280,Male,188,57
P281,Male,193,65
P282,Female,147,126
P283,Female,147,94
P284,Male,166,107
P285,Female,192,139
P286,Male,181,139
P287,Male,150,74
P288,Male,178,160
P289,Female,156,52
P290,Male,149,100
P291,Male,156,74
P292,Male,183,105
P293,Female,162,68
P294,Female,165,83
P295,Female,168,143
P296,Male,160,156
P297,Female,169,88
P298,Female,140,76
P299,Female,187,92
P300,Male,151,82
P301,Female,186,140
P302,Male,182,108
P303,Male,188,81
P304,Male,179,110
P305,Female,156,126
P306,Male,188,114
P307,Male,183,153
P308,Male,144,88
P309,Male,196,69
P310,Male,171,141
P311,Male,171,147
P312,Female,180,156
P313,Male,191,146
P314,Female,179,67
P315,Female,180,60
P316,Female,154,132
P317,Male,188,99
P318,Male,142,135
P319,Male,170,95
P320,Male,152,141
P321,Female,190,118
P322,Female,181,111
P323,Male,153,104
P324,Male,187,140
P325,Female,144,66
P326,Female,148,54
P327,Female,199,92
P328,Female,167,85
P329,Female,164,71
P330,Female,185,102
P331,Female,164,160
P332,Male,142,71
P333,Male,165,68
P334,Female,172,62
P335,Female,157,56
P336,Male,155,57
P337,Female,167,153
P338,Female,164,126
P339,Female,189,125
P340,Female,161,145
P341,Female,155,71
P342,Female,171,118
P343,Female,154,92
P344,Male,179,83
P345,Male,170,115
P346,Female,184,106
P347,Female,191,68
P348,Male,162,58
P349,Male,178,138
P350,Female,157,60
P351,Male,184,83
P352,Male,197,88
P353,Female,160,51
P354,Male,184,153
P355,Male,190,50
P356,Male,174,90
P357,Female,189,124
P358,Female,186,143
P359,Female,180,58
P360,Female,186,148
P361,Female,193,61
P362,Male,161,103
P363,Female,151,158
P364,Female,195,147
P365,Female,184,152
P366,Male,141,80
P367,Female,185,94
P368,Female,186,127
P369,Male,142,131
P370,Female,147,67
P371,Male,151,62
P372,Female,160,124
P373,Male,185,60
P374,Female,163,63
P375,Male,174,95
P376,Female,150,144
P377,Male,142,91
P378,Male,178,142
P379,Female,154,96
P380,Male,176,87
P381,Male,159,120
P382,Male,191,62
P383,Male,177,117
P384,Male,151,154
P385,Female,182,149
P386,Female,197,72
P387,Male,146,138
P388,Female,160,83
P389,Female,157,66
P390,Female,150,50
P391,Female,167,58
P392,Female,180,70
P393,Female,183,76
P394,Female,183,87
P395,Female,152,154
P396,Female,164,71
P397,Male,187,96
P398,Male,169,136
P399,Female,149,61
P400,Male,163,137
P401,Female,195,104
P402,Male,174,107
P403,Male,182,70
P404,Male,169,110
P405,Male,193,130
P406,Male,148,141
P407,Male,186,68
P408,Male,165,143
P409,Female,146,123
P410,Female,166,133
P411,Male,179,56
P412,Female,177,101
P413,Male,181,154
P414,Female,161,154
P415,Female,157,103
P416,Female,169,98
P417,Female,152,114
P418,Female,162,64
P419,Male,162,130
P420,Female,177,61
P421,Female,195,61
P422,Male,140,146
P423,Female,186,146
P424,Female,178,107
P425,Male,174,54
P426,Female,180,59
P427,Male,188,141
P428,Female,187,130
P429,Female,153,77
P430,Female,165,95
P431,Female,178,79
P432,Female,163,154
P433,Female,150,97
P434,Male,179,127
P435,Male,165,62
P436,Male,168,158
P437,Female,153,133
P438,Male,184,157
P439,Male,188,65
P440,Female,166,153
P441,Female,172,116
P442,Male,182,73
P443,Male,143,149
P444,Male,152,146
P445,Female,186,128
P446,Male,159,140
P447,Male,146,70
P448,Female,176,121
P449,Female,146,101
P450,Male,159,145
P451,Male,162,157
P452,Female,172,90
P453,Female,169,121
P454,Male,182,50
P455,Female,183,79
P456,Male,176,77
P457,Female,188,128
P458,Female,175,83
P459,Male,154,81
P460,Female,184,147
P461,Male,179,123
P462,Male,152,132
P463,Male,179,56
P464,Female,145,141
P465,Female,181,80
P466,Male,158,127
P467,Female,188,99
P468,Male,145,142
P469,Male,161,115
P470,Male,198,109
P471,Male,147,142
P472,Male,154,112
P473,Female,178,65
P474,Male,195,153
P475,Female,167,79
P476,Male,183,131
P477,Female,164,142
P478,Male,167,64
P479,Female,151,55
P480,Female,147,107
P481,Female,155,115
P482,Female,172,108
P483,Female,142,86
P484,Male,146,85
P485,Female,188,115
P486,Male,173,111
P487,Female,160,109
P488,Male,187,80
P489,Male,198,136
P490,Female,179,150
P491,Female,164,59
P492,Female,146,147
P493,Female,198,50
P494,Female,170,53
P495,Male,152,98
P496,Female,150,153
P497,Female,184,121
P498,Female,141,136
P499,Male,150,95
P500,Male,173,131
